scientific_name,sra_accession,mag_file,tax_id,mag_name
uncultured Acidovorax sp.,ERS6627256,uncultured_Acidovorax_sp._ERS6627256.fasta,158751,uncultured_Acidovorax_sp._ERS6627256
uncultured Novosphingobium sp.,ERS6626794,uncultured_Novosphingobium_sp._ERS6626794.fasta,292277,uncultured_Novosphingobium_sp._ERS6626794
uncultured Variovorax sp.,ERS6626779,uncultured_Variovorax_sp._ERS6626779.fasta,114708,uncultured_Variovorax_sp._ERS6626779
uncultured Acinetobacter sp.,ERS6626793,uncultured_Acinetobacter_sp._ERS6626793.fasta,165433,uncultured_Acinetobacter_sp._ERS6626793
uncultured Agrobacterium sp.,ERS6626805,uncultured_Agrobacterium_sp._ERS6626805.fasta,157277,uncultured_Agrobacterium_sp._ERS6626805
uncultured Chryseobacterium sp.,ERS6626849,uncultured_Chryseobacterium_sp._ERS6626849.fasta,259322,uncultured_Chryseobacterium_sp._ERS6626849
uncultured Sphingomonas sp.,ERS6626845,uncultured_Sphingomonas_sp._ERS6626845.fasta,158754,uncultured_Sphingomonas_sp._ERS6626845
uncultured Novosphingobium sp.,ERS6626759,uncultured_Novosphingobium_sp._ERS6626759.fasta,292277,uncultured_Novosphingobium_sp._ERS6626759
uncultured Brevundimonas sp.,ERS6626807,uncultured_Brevundimonas_sp._ERS6626807.fasta,213418,uncultured_Brevundimonas_sp._ERS6626807
uncultured Deinococcus sp.,ERS6626811,uncultured_Deinococcus_sp._ERS6626811.fasta,158789,uncultured_Deinococcus_sp._ERS6626811
uncultured Pantoea sp.,ERS6626920,uncultured_Pantoea_sp._ERS6626920.fasta,218084,uncultured_Pantoea_sp._ERS6626920
uncultured Pseudomonas sp.,ERS6627294,uncultured_Pseudomonas_sp._ERS6627294.fasta,114707,uncultured_Pseudomonas_sp._ERS6627294
uncultured Microbacterium sp.,ERS6627264,uncultured_Microbacterium_sp._ERS6627264.fasta,191216,uncultured_Microbacterium_sp._ERS6627264
uncultured Xanthomonas sp.,ERS6626832,uncultured_Xanthomonas_sp._ERS6626832.fasta,152831,uncultured_Xanthomonas_sp._ERS6626832
uncultured Pseudacidovorax sp.,ERS6626767,uncultured_Pseudacidovorax_sp._ERS6626767.fasta,679313,uncultured_Pseudacidovorax_sp._ERS6626767
uncultured Novosphingobium sp.,ERS6626778,uncultured_Novosphingobium_sp._ERS6626778.fasta,292277,uncultured_Novosphingobium_sp._ERS6626778
uncultured Agrobacterium sp.,ERS6626838,uncultured_Agrobacterium_sp._ERS6626838.fasta,157277,uncultured_Agrobacterium_sp._ERS6626838
uncultured Sphingomonas sp.,ERS6626946,uncultured_Sphingomonas_sp._ERS6626946.fasta,158754,uncultured_Sphingomonas_sp._ERS6626946
uncultured Pantoea sp.,ERS6627022,uncultured_Pantoea_sp._ERS6627022.fasta,218084,uncultured_Pantoea_sp._ERS6627022
uncultured Sphingomonas sp.,ERS6627017,uncultured_Sphingomonas_sp._ERS6627017.fasta,158754,uncultured_Sphingomonas_sp._ERS6627017
uncultured Xanthomonas sp.,ERS6627021,uncultured_Xanthomonas_sp._ERS6627021.fasta,152831,uncultured_Xanthomonas_sp._ERS6627021
uncultured Pseudomonas sp.,ERS6626952,uncultured_Pseudomonas_sp._ERS6626952.fasta,114707,uncultured_Pseudomonas_sp._ERS6626952
uncultured Pantoea sp.,ERS6626969,uncultured_Pantoea_sp._ERS6626969.fasta,218084,uncultured_Pantoea_sp._ERS6626969
uncultured Comamonas sp.,ERS6627300,uncultured_Comamonas_sp._ERS6627300.fasta,114710,uncultured_Comamonas_sp._ERS6627300
uncultured Agrobacterium sp.,ERS6626977,uncultured_Agrobacterium_sp._ERS6626977.fasta,157277,uncultured_Agrobacterium_sp._ERS6626977
uncultured Roseateles sp.,ERS6626966,uncultured_Roseateles_sp._ERS6626966.fasta,452440,uncultured_Roseateles_sp._ERS6626966
uncultured Microbacterium sp.,ERS6627330,uncultured_Microbacterium_sp._ERS6627330.fasta,191216,uncultured_Microbacterium_sp._ERS6627330
uncultured Sphingomonas sp.,ERS6627006,uncultured_Sphingomonas_sp._ERS6627006.fasta,158754,uncultured_Sphingomonas_sp._ERS6627006
uncultured Pantoea sp.,ERS6627005,uncultured_Pantoea_sp._ERS6627005.fasta,218084,uncultured_Pantoea_sp._ERS6627005
uncultured Roseateles sp.,ERS6626963,uncultured_Roseateles_sp._ERS6626963.fasta,452440,uncultured_Roseateles_sp._ERS6626963
uncultured Sphingomonas sp.,ERS6626881,uncultured_Sphingomonas_sp._ERS6626881.fasta,158754,uncultured_Sphingomonas_sp._ERS6626881
uncultured Brevundimonas sp.,ERS6626880,uncultured_Brevundimonas_sp._ERS6626880.fasta,213418,uncultured_Brevundimonas_sp._ERS6626880
uncultured Stenotrophomonas sp.,ERS6627250,uncultured_Stenotrophomonas_sp._ERS6627250.fasta,165438,uncultured_Stenotrophomonas_sp._ERS6627250
uncultured Acidovorax sp.,ERS6627016,uncultured_Acidovorax_sp._ERS6627016.fasta,158751,uncultured_Acidovorax_sp._ERS6627016
uncultured Sphingomonas sp.,ERS6627255,uncultured_Sphingomonas_sp._ERS6627255.fasta,158754,uncultured_Sphingomonas_sp._ERS6627255
uncultured Flavobacterium sp.,ERS6627313,uncultured_Flavobacterium_sp._ERS6627313.fasta,165435,uncultured_Flavobacterium_sp._ERS6627313
uncultured Agrobacterium sp.,ERS6626956,uncultured_Agrobacterium_sp._ERS6626956.fasta,157277,uncultured_Agrobacterium_sp._ERS6626956
uncultured Brevundimonas sp.,ERS6626900,uncultured_Brevundimonas_sp._ERS6626900.fasta,213418,uncultured_Brevundimonas_sp._ERS6626900
uncultured Methylobacterium sp.,ERS6627288,uncultured_Methylobacterium_sp._ERS6627288.fasta,157278,uncultured_Methylobacterium_sp._ERS6627288
uncultured Sphingomonas sp.,ERS6627299,uncultured_Sphingomonas_sp._ERS6627299.fasta,158754,uncultured_Sphingomonas_sp._ERS6627299
uncultured Pseudacidovorax sp.,ERS6627320,uncultured_Pseudacidovorax_sp._ERS6627320.fasta,679313,uncultured_Pseudacidovorax_sp._ERS6627320
uncultured Chryseobacterium sp.,ERS6626903,uncultured_Chryseobacterium_sp._ERS6626903.fasta,259322,uncultured_Chryseobacterium_sp._ERS6626903
uncultured Chryseobacterium sp.,ERS6627248,uncultured_Chryseobacterium_sp._ERS6627248.fasta,259322,uncultured_Chryseobacterium_sp._ERS6627248
uncultured Pseudomonas sp.,ERS6627015,uncultured_Pseudomonas_sp._ERS6627015.fasta,114707,uncultured_Pseudomonas_sp._ERS6627015
uncultured Enterococcus sp.,ERS6627298,uncultured_Enterococcus_sp._ERS6627298.fasta,167972,uncultured_Enterococcus_sp._ERS6627298
uncultured Buchnera sp.,ERS6627326,uncultured_Buchnera_sp._ERS6627326.fasta,574037,uncultured_Buchnera_sp._ERS6627326
uncultured Cupriavidus sp.,ERS6626993,uncultured_Cupriavidus_sp._ERS6626993.fasta,314008,uncultured_Cupriavidus_sp._ERS6626993
uncultured Aquabacterium sp.,ERS6627305,uncultured_Aquabacterium_sp._ERS6627305.fasta,158753,uncultured_Aquabacterium_sp._ERS6627305
uncultured Acidovorax sp.,ERS6627271,uncultured_Acidovorax_sp._ERS6627271.fasta,158751,uncultured_Acidovorax_sp._ERS6627271
uncultured Pseudomonas sp.,ERS6627265,uncultured_Pseudomonas_sp._ERS6627265.fasta,114707,uncultured_Pseudomonas_sp._ERS6627265
uncultured Acidovorax sp.,ERS6626827,uncultured_Acidovorax_sp._ERS6626827.fasta,158751,uncultured_Acidovorax_sp._ERS6626827
uncultured Pseudomonas sp.,ERS6627274,uncultured_Pseudomonas_sp._ERS6627274.fasta,114707,uncultured_Pseudomonas_sp._ERS6627274
uncultured Sphingomonas sp.,ERS6627317,uncultured_Sphingomonas_sp._ERS6627317.fasta,158754,uncultured_Sphingomonas_sp._ERS6627317
uncultured Massilia sp.,ERS6626988,uncultured_Massilia_sp._ERS6626988.fasta,169973,uncultured_Massilia_sp._ERS6626988
uncultured Sphingomonas sp.,ERS6626860,uncultured_Sphingomonas_sp._ERS6626860.fasta,158754,uncultured_Sphingomonas_sp._ERS6626860
uncultured Acidovorax sp.,ERS6626955,uncultured_Acidovorax_sp._ERS6626955.fasta,158751,uncultured_Acidovorax_sp._ERS6626955
uncultured Sphingomonas sp.,ERS6626899,uncultured_Sphingomonas_sp._ERS6626899.fasta,158754,uncultured_Sphingomonas_sp._ERS6626899
uncultured Pseudomonas sp.,ERS6627287,uncultured_Pseudomonas_sp._ERS6627287.fasta,114707,uncultured_Pseudomonas_sp._ERS6627287
uncultured Pseudomonas sp.,ERS6626976,uncultured_Pseudomonas_sp._ERS6626976.fasta,114707,uncultured_Pseudomonas_sp._ERS6626976
uncultured Acidovorax sp.,ERS6627297,uncultured_Acidovorax_sp._ERS6627297.fasta,158751,uncultured_Acidovorax_sp._ERS6627297
