IRRI seed bank ID,SRA accession,Group,New SRA
IRGC 121838,ERS6595796,japonica,ERR6050613
IRGC 121843,ERS6595600,japonica,ERR6050417
IRGC 121843,ERS6595820,japonica,ERR6050637
IRGC 121843,ERS6595710,japonica,ERR6050527
IRGC 121850,ERS6595613,indica,ERR6050430
IRGC 121850,ERS6595723,indica,ERR6050540
IRGC 121850,ERS6595833,indica,ERR6050650
IRGC 121859,ERS6595704,japonica,ERR6050521
IRGC 121859,ERS6595814,japonica,ERR6050631
IRGC 121859,ERS6595594,japonica,ERR6050411
IRGC 121872,ERS6595537,indica,ERR6050355
IRGC 121872,ERS6595648,indica,ERR6050465
IRGC 121872,ERS6595758,indica,ERR6050575
IRGC 121884,ERS6595701,indica,ERR6050518
IRGC 121884,ERS6595591,indica,ERR6050408
IRGC 121884,ERS6595811,indica,ERR6050628
